,artist,title,label,rank,week_start,week_end,genre
1474,Kummer,Kiox,Eklat Tonträger,15,13.12.2019,19.12.2019,HipHop
1475,Juju (DE),Bling Bling,Jinx Music,16,13.12.2019,19.12.2019,HipHop
1476,Shindy,Drama,Sony Music / Friends With Money,17,13.12.2019,19.12.2019,HipHop
1477,Trettmann,Trettmann,Soulforce/BMG,18,13.12.2019,19.12.2019,HipHop
1478,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,19,13.12.2019,19.12.2019,HipHop
1479,Capital Bra,CB6,Urban,20,13.12.2019,19.12.2019,HipHop
1480,Genetikk,OUTTATHISWORLD - Radio Show Vol. 1,Outta This World,1,06.12.2019,12.12.2019,HipHop
1481,Apache 207,Platte,Two Sides,2,06.12.2019,12.12.2019,HipHop
1482,Karate Andi,ASAP KOTTI,Selfmade Records,3,06.12.2019,12.12.2019,HipHop
1483,Summer Cem,Nur noch nice,Banger Musik,4,06.12.2019,12.12.2019,HipHop
1484,Capital Bra & Samra,Berlin lebt 2,Urban,5,06.12.2019,12.12.2019,HipHop
1485,Sido,Ich & keine Maske,Urban,6,06.12.2019,12.12.2019,HipHop
1486,RAF Camora,Zenit,Indipendenza,7,06.12.2019,12.12.2019,HipHop
1487,Shirin David,Supersize,Universal Domestic Vertigo,8,06.12.2019,12.12.2019,HipHop
1488,Loredana (CH),King Lori,Loredana,9,06.12.2019,12.12.2019,HipHop
1489,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,10,06.12.2019,12.12.2019,HipHop
1490,Post Malone,Hollywood's Bleeding,Republic Records,11,06.12.2019,12.12.2019,HipHop
1491,Trettmann,Trettmann,Soulforce/BMG,12,06.12.2019,12.12.2019,HipHop
1492,Kummer,Kiox,Eklat Tonträger,13,06.12.2019,12.12.2019,HipHop
1493,Max Herre,Athen,Universal Domestic Vertigo,14,06.12.2019,12.12.2019,HipHop
1494,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,15,06.12.2019,12.12.2019,HipHop
1495,Juju (DE),Bling Bling,Jinx Music,16,06.12.2019,12.12.2019,HipHop
1496,Capital Bra,CB6,Urban,17,06.12.2019,12.12.2019,HipHop
1497,Afrob,Abschied von gestern,One Shotta Records,18,06.12.2019,12.12.2019,HipHop
1498,OG Keemo,Geist,Chimperator Productions,19,06.12.2019,12.12.2019,HipHop
1499,Shindy,Drama,Friends With Money,20,06.12.2019,12.12.2019,HipHop
1500,OG Keemo,Geist,Chimperator Productions,1,29.11.2019,05.12.2019,HipHop
1501,Apache 207,Platte,Two Sides,2,29.11.2019,05.12.2019,HipHop
1502,Bosca,Riot,Urban,3,29.11.2019,05.12.2019,HipHop
1503,Summer Cem,Nur noch nice,Banger Musik,4,29.11.2019,05.12.2019,HipHop
1504,RAF Camora,Zenit,Indipendenza,5,29.11.2019,05.12.2019,HipHop
1505,Capital Bra & Samra,Berlin lebt 2,Urban,6,29.11.2019,05.12.2019,HipHop
1506,Sido,Ich & keine Maske,Urban,7,29.11.2019,05.12.2019,HipHop
1507,Afrob,Abschied von gestern,One Shotta Records,8,29.11.2019,05.12.2019,HipHop
1508,Loredana (CH),King Lori,Loredana,9,29.11.2019,05.12.2019,HipHop
1509,Post Malone,Hollywood's Bleeding,Republic Records,10,29.11.2019,05.12.2019,HipHop
1510,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,11,29.11.2019,05.12.2019,HipHop
1511,Max Herre,Athen,Universal Domestic Vertigo,12,29.11.2019,05.12.2019,HipHop
1512,Juju (DE),Bling Bling,Jinx Music,13,29.11.2019,05.12.2019,HipHop
1513,Trettmann,Trettmann,Soulforce/BMG,14,29.11.2019,05.12.2019,HipHop
1514,Kummer,Kiox,Eklat Tonträger,15,29.11.2019,05.12.2019,HipHop
1515,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,16,29.11.2019,05.12.2019,HipHop
1516,Shindy,Drama,Friends With Money,17,29.11.2019,05.12.2019,HipHop
1517,Capital Bra,CB6,Urban,18,29.11.2019,05.12.2019,HipHop
1518,Ufo361 & Ezhel,Lights Out,Urban,19,29.11.2019,05.12.2019,HipHop
1519,Yung Hurn,Y,Live From Earth,20,29.11.2019,05.12.2019,HipHop
1520,Apache 207,Platte,Two Sides,1,22.11.2019,28.11.2019,HipHop
1521,Summer Cem,Nur noch nice,Banger Musik,2,22.11.2019,28.11.2019,HipHop
1522,RAF Camora,Zenit,Indipendenza,3,22.11.2019,28.11.2019,HipHop
1523,Capital Bra & Samra,Berlin lebt 2,Urban,4,22.11.2019,28.11.2019,HipHop
1524,Sido,Ich & keine Maske,Urban,5,22.11.2019,28.11.2019,HipHop
1525,2ara,Hart auf Hart,Alte Schule,6,22.11.2019,28.11.2019,HipHop
1526,Ufo361 & Ezhel,Lights Out,Urban,7,22.11.2019,28.11.2019,HipHop
1527,Max Herre,Athen,Universal Domestic Vertigo,8,22.11.2019,28.11.2019,HipHop
1528,Loredana (CH),King Lori,Loredana,9,22.11.2019,28.11.2019,HipHop
1529,Yung Hurn,Y,Live From Earth,10,22.11.2019,28.11.2019,HipHop
1530,Post Malone,Hollywood's Bleeding,Republic Records,11,22.11.2019,28.11.2019,HipHop
1531,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,12,22.11.2019,28.11.2019,HipHop
1532,Tua,Grau,Chimperator Productions,13,22.11.2019,28.11.2019,HipHop
1533,Kummer,Kiox,Eklat Tonträger,14,22.11.2019,28.11.2019,HipHop
1534,Azet,Mango EP,KMN Gang,15,22.11.2019,28.11.2019,HipHop
1535,Trettmann,Trettmann,Soulforce/BMG,16,22.11.2019,28.11.2019,HipHop
1536,Juju (DE),Bling Bling,Jinx Music,17,22.11.2019,28.11.2019,HipHop
1537,Shindy,Drama,Friends With Money,18,22.11.2019,28.11.2019,HipHop
1538,Lil Peep,Everybody's Everything,Columbia,19,22.11.2019,28.11.2019,HipHop
1539,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,20,22.11.2019,28.11.2019,HipHop
1540,Summer Cem,Nur noch nice,Banger Musik,1,15.11.2019,21.11.2019,HipHop
1541,RAF Camora,Zenit,Indipendenza,2,15.11.2019,21.11.2019,HipHop
1542,Yung Hurn,Y,Live From Earth,3,15.11.2019,21.11.2019,HipHop
1543,Max Herre,Athen,Universal Domestic Vertigo,4,15.11.2019,21.11.2019,HipHop
1544,Apache 207,Platte,Two Sides,5,15.11.2019,21.11.2019,HipHop
1545,Johnny Diggson,World Diggson,KRB Mode,6,15.11.2019,21.11.2019,HipHop
1546,Capital Bra & Samra,Berlin lebt 2,Urban,7,15.11.2019,21.11.2019,HipHop
1547,Sido,Ich & keine Maske,Urban,8,15.11.2019,21.11.2019,HipHop
1548,Azet,Mango EP,KMN Gang,9,15.11.2019,21.11.2019,HipHop
1549,Loredana (CH),King Lori,Loredana,10,15.11.2019,21.11.2019,HipHop
1550,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,11,15.11.2019,21.11.2019,HipHop
1551,Post Malone,Hollywood's Bleeding,Republic Records,12,15.11.2019,21.11.2019,HipHop
1552,Kummer,Kiox,Eklat Tonträger,13,15.11.2019,21.11.2019,HipHop
1553,Trettmann,Trettmann,Soulforce/BMG,14,15.11.2019,21.11.2019,HipHop
1554,Juju (DE),Bling Bling,Jinx Music,15,15.11.2019,21.11.2019,HipHop
1555,Shindy,Drama,Friends With Money,16,15.11.2019,21.11.2019,HipHop
1556,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,17,15.11.2019,21.11.2019,HipHop
1557,Capital Bra,CB6,Urban,18,15.11.2019,21.11.2019,HipHop
1558,Luciano,Millies,Urban,19,15.11.2019,21.11.2019,HipHop
1559,Mero,Unikat,Groove Attack TraX,20,15.11.2019,21.11.2019,HipHop
1560,RAF Camora,Zenit,Indipendenza,1,08.11.2019,14.11.2019,HipHop
1561,Apache 207,Platte,Two Sides,2,08.11.2019,14.11.2019,HipHop
1562,102 Boyz,Asozial Allstars 3,Jinx Music,3,08.11.2019,14.11.2019,HipHop
1563,Capital Bra & Samra,Berlin lebt 2,Universal Domestic Urban,4,08.11.2019,14.11.2019,HipHop
1564,257ers,Abrakadabra,Selfmade Records,5,08.11.2019,14.11.2019,HipHop
1565,Sido,Ich & keine Maske,Universal Domestic Urban,6,08.11.2019,14.11.2019,HipHop
1566,Loredana (CH),King Lori,Loredana,7,08.11.2019,14.11.2019,HipHop
1567,Kummer,Kiox,Eklat Tonträger,8,08.11.2019,14.11.2019,HipHop
1568,Post Malone,Hollywood's Bleeding,Republic Records,9,08.11.2019,14.11.2019,HipHop
1569,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,10,08.11.2019,14.11.2019,HipHop
1570,Trettmann,Trettmann,Soulforce/BMG,11,08.11.2019,14.11.2019,HipHop
1571,Kanye West,Jesus Is King,Getting Out Our Dreams Inc.,12,08.11.2019,14.11.2019,HipHop
1572,Juju (DE),Bling Bling,Jinx Music,13,08.11.2019,14.11.2019,HipHop
1573,Shindy,Drama,Friends With Money,14,08.11.2019,14.11.2019,HipHop
1574,Azet,Mango EP,KMN Gang,15,08.11.2019,14.11.2019,HipHop
1575,Capital Bra,CB6,Universal Domestic Urban,16,08.11.2019,14.11.2019,HipHop
1576,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,17,08.11.2019,14.11.2019,HipHop
1577,Mero,Unikat,Groove Attack TraX,18,08.11.2019,14.11.2019,HipHop
1578,Luciano,Millies,Universal Domestic Urban,19,08.11.2019,14.11.2019,HipHop
1579,Shirin David,Supersize,Universal Domestic Vertigo,20,08.11.2019,14.11.2019,HipHop
1580,Apache 207,Platte,Two Sides,1,31.10.2019,07.11.2019,HipHop
1581,Capital Bra & Samra,Berlin lebt 2,Universal Domestic Urban,2,31.10.2019,07.11.2019,HipHop
1582,Sido,Ich & keine Maske,Universal Domestic Urban,3,31.10.2019,07.11.2019,HipHop
1583,Kanye West,Jesus Is King,Getting Out Our Dreams Inc.,4,31.10.2019,07.11.2019,HipHop
1584,Kummer,Kiox,Eklat Tonträger,5,31.10.2019,07.11.2019,HipHop
1585,Loredana (CH),King Lori,Loredana,6,31.10.2019,07.11.2019,HipHop
1586,Post Malone,Hollywood's Bleeding,Republic Records,7,31.10.2019,07.11.2019,HipHop
1587,Lumaraa,Zu Persönlich,Bassukah,8,31.10.2019,07.11.2019,HipHop
1588,Manuellsen,MB ICE,König im Schatten Records,9,31.10.2019,07.11.2019,HipHop
1589,Trettmann,Trettmann,Soulforce/BMG,10,31.10.2019,07.11.2019,HipHop
1590,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,11,31.10.2019,07.11.2019,HipHop
1591,Mero,Unikat,Groove Attack TraX,12,31.10.2019,07.11.2019,HipHop
1592,Juju (DE),Bling Bling,Jinx Music,13,31.10.2019,07.11.2019,HipHop
1593,Shindy,Drama,Friends With Money,14,31.10.2019,07.11.2019,HipHop
1594,Capital Bra,CB6,Universal Domestic Urban,15,31.10.2019,07.11.2019,HipHop
1595,Luciano,Millies,Universal Domestic Urban,16,31.10.2019,07.11.2019,HipHop
1596,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,17,31.10.2019,07.11.2019,HipHop
1597,Shirin David,Supersize,Universal Domestic Vertigo,18,31.10.2019,07.11.2019,HipHop
1598,Fiva,Nina,Kopfhörer Recordings,19,31.10.2019,07.11.2019,HipHop
1599,Ufo361,Wave,Stay High,20,31.10.2019,07.11.2019,HipHop
1600,Capital Bra & Samra,Berlin lebt 2,Universal Domestic Urban,1,25.10.2019,30.10.2019,HipHop
1601,Sido,Ich & keine Maske,Universal Domestic Urban,2,25.10.2019,30.10.2019,HipHop
1602,Kummer,Kiox,Eklat Tonträger,3,25.10.2019,30.10.2019,HipHop
1603,Loredana (CH),King Lori,Loredana,4,25.10.2019,30.10.2019,HipHop
1604,Post Malone,Hollywood's Bleeding,Republic Records,5,25.10.2019,30.10.2019,HipHop
1605,Trettmann,Trettmann,Soulforce/BMG,6,25.10.2019,30.10.2019,HipHop
1606,Mero,Unikat,Groove Attack TraX,7,25.10.2019,30.10.2019,HipHop
1607,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,8,25.10.2019,30.10.2019,HipHop
1608,Shindy,Drama,Friends With Money,9,25.10.2019,30.10.2019,HipHop
1609,Shirin David,Supersize,Universal Domestic Vertigo,10,25.10.2019,30.10.2019,HipHop
1610,Juju (DE),Bling Bling,Jinx Music,11,25.10.2019,30.10.2019,HipHop
1611,Capital Bra,CB6,Universal Domestic Urban,12,25.10.2019,30.10.2019,HipHop
1612,Luciano,Millies,Universal Domestic Urban,13,25.10.2019,30.10.2019,HipHop
1613,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,14,25.10.2019,30.10.2019,HipHop
1614,Ufo361,Wave,Stay High,15,25.10.2019,30.10.2019,HipHop
1615,Yungblud,The Underrated Youth - EP,Locomotion Recordings,16,25.10.2019,30.10.2019,HipHop
1616,Travis Scott,Astroworld,Epic,17,25.10.2019,30.10.2019,HipHop
1617,Trettmann,#DIY,SoulForce Records,18,25.10.2019,30.10.2019,HipHop
1618,Olexesh,Augen Husky,385ideal,19,25.10.2019,30.10.2019,HipHop
1619,Capital Bra,Berlin Lebt,Team Kuku,20,25.10.2019,30.10.2019,HipHop
1620,Kummer,Kiox,Eklat Tonträger,1,18.10.2019,24.10.2019,HipHop
1621,Capital Bra & Samra,Berlin lebt 2,Universal Domestic Urban,2,18.10.2019,24.10.2019,HipHop
1622,Sido,Ich & keine Maske,Universal Domestic Urban,3,18.10.2019,24.10.2019,HipHop
1623,Loredana (CH),King Lori,Loredana,4,18.10.2019,24.10.2019,HipHop
1624,Post Malone,Hollywood's Bleeding,Republic Records,5,18.10.2019,24.10.2019,HipHop
1625,Mero,Unikat,Groove Attack TraX,6,18.10.2019,24.10.2019,HipHop
1626,Trettmann,Trettmann,Soulforce/BMG,7,18.10.2019,24.10.2019,HipHop
1627,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,8,18.10.2019,24.10.2019,HipHop
1628,Shirin David,Supersize,Universal Domestic Vertigo,9,18.10.2019,24.10.2019,HipHop
1629,Shindy,Drama,Friends With Money,10,18.10.2019,24.10.2019,HipHop
1630,Capital Bra,CB6,Universal Domestic Urban,11,18.10.2019,24.10.2019,HipHop
1631,Luciano,Millies,Universal Domestic Urban,12,18.10.2019,24.10.2019,HipHop
1632,Juju (DE),Bling Bling,Jinx Music,13,18.10.2019,24.10.2019,HipHop
1633,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,14,18.10.2019,24.10.2019,HipHop
1634,Ufo361,Wave,Stay High,15,18.10.2019,24.10.2019,HipHop
1635,Data Luv,GOAT,Stay High,16,18.10.2019,24.10.2019,HipHop
1636,PA Sports,Keine Tränen,Life Is Pain,17,18.10.2019,24.10.2019,HipHop
1637,Travis Scott,Astroworld,Epic,18,18.10.2019,24.10.2019,HipHop
1638,Olexesh,Augen Husky,385ideal,19,18.10.2019,24.10.2019,HipHop
1639,LX & Maxwell,Obststand 2,Chapter One,20,18.10.2019,24.10.2019,HipHop
1640,Capital Bra & Samra,Berlin lebt 2,Universal Domestic Urban,1,11.10.2019,17.10.2019,HipHop
1641,Sido,Ich & keine Maske,Universal Domestic Urban,2,11.10.2019,17.10.2019,HipHop
1642,PA Sports,Keine Tränen,Life Is Pain,3,11.10.2019,17.10.2019,HipHop
1643,Mero,Unikat,Groove Attack TraX,4,11.10.2019,17.10.2019,HipHop
1644,Loredana (CH),King Lori,Loredana,5,11.10.2019,17.10.2019,HipHop
1645,Trettmann,Trettmann,Soulforce/BMG,6,11.10.2019,17.10.2019,HipHop
1646,Post Malone,Hollywood's Bleeding,Republic Records,7,11.10.2019,17.10.2019,HipHop
1647,Shirin David,Supersize,Universal Domestic Vertigo,8,11.10.2019,17.10.2019,HipHop
1648,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,9,11.10.2019,17.10.2019,HipHop
1649,Shindy,Drama,Friends With Money,10,11.10.2019,17.10.2019,HipHop
1650,Juju (DE),Bling Bling,Jinx Music,11,11.10.2019,17.10.2019,HipHop
1651,Luciano,Millies,Universal Domestic Urban,12,11.10.2019,17.10.2019,HipHop
1652,Capital Bra,CB6,Universal Domestic Urban,13,11.10.2019,17.10.2019,HipHop
1653,Ufo361,Wave,Stay High,14,11.10.2019,17.10.2019,HipHop
1654,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,15,11.10.2019,17.10.2019,HipHop
1655,"Tyler, The Creator",Igor,Columbia,16,11.10.2019,17.10.2019,HipHop
1656,Olexesh,Augen Husky,385ideal,17,11.10.2019,17.10.2019,HipHop
1657,Travis Scott,Astroworld,Epic,18,11.10.2019,17.10.2019,HipHop
1658,Kwam.E,IZZA EP,Nur! Musik.,19,11.10.2019,17.10.2019,HipHop
1659,Chakuza,Magnolia X,Igroove,20,11.10.2019,17.10.2019,HipHop
1660,Sido,Ich & keine Maske,Universal Domestic Urban,1,04.10.2019,10.10.2019,HipHop
1661,Mero,Unikat,Groove Attack TraX,2,04.10.2019,10.10.2019,HipHop
1662,Loredana (CH),King Lori,Loredana,3,04.10.2019,10.10.2019,HipHop
1663,Post Malone,Hollywood's Bleeding,Republic Records,4,04.10.2019,10.10.2019,HipHop
1664,Shirin David,Supersize,Universal Domestic Vertigo,5,04.10.2019,10.10.2019,HipHop
1665,Trettmann,Trettmann,Soulforce/BMG,6,04.10.2019,10.10.2019,HipHop
1666,Luciano,Millies,Universal Domestic Urban,7,04.10.2019,10.10.2019,HipHop
1667,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,8,04.10.2019,10.10.2019,HipHop
1668,Shindy,Drama,Friends With Money,9,04.10.2019,10.10.2019,HipHop
1669,Juju (DE),Bling Bling,Jinx Music,10,04.10.2019,10.10.2019,HipHop
1670,Ufo361,Wave,Stay High,11,04.10.2019,10.10.2019,HipHop
1671,Capital Bra,CB6,Universal Domestic Urban,12,04.10.2019,10.10.2019,HipHop
1672,Olexesh,Augen Husky,385ideal,13,04.10.2019,10.10.2019,HipHop
1673,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,14,04.10.2019,10.10.2019,HipHop
1674,DaBaby,KIRK,Interscope,15,04.10.2019,10.10.2019,HipHop
1675,Travis Scott,Astroworld,Epic,16,04.10.2019,10.10.2019,HipHop
1676,LX & Maxwell,Obststand 2,Chapter One,17,04.10.2019,10.10.2019,HipHop
1677,Sido,Kronjuwelen,Universal Domestic Urban,18,04.10.2019,10.10.2019,HipHop
1678,Trettmann,#DIY,SoulForce Records,19,04.10.2019,10.10.2019,HipHop
1679,Dame,Zeus,Damestream Records,20,04.10.2019,10.10.2019,HipHop
1680,Shirin David,Supersize,Universal Domestic Vertigo,1,27.09.2019,03.10.2019,HipHop
1681,Loredana (CH),King Lori,Loredana,2,27.09.2019,03.10.2019,HipHop
1682,Trettmann,Trettmann,Soulforce/BMG,3,27.09.2019,03.10.2019,HipHop
1683,Post Malone,Hollywood's Bleeding,Republic Records,4,27.09.2019,03.10.2019,HipHop
1684,Luciano,Millies,Universal Domestic Urban,5,27.09.2019,03.10.2019,HipHop
1685,Silla,Silla Instinkt 2,Major Movez,6,27.09.2019,03.10.2019,HipHop
1686,Olexesh,Augen Husky,385ideal,7,27.09.2019,03.10.2019,HipHop
1687,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,8,27.09.2019,03.10.2019,HipHop
1688,Ufo361,Wave,Stay High,9,27.09.2019,03.10.2019,HipHop
1689,Shindy,Drama,Friends With Money,10,27.09.2019,03.10.2019,HipHop
1690,Juju (DE),Bling Bling,Jinx Music,11,27.09.2019,03.10.2019,HipHop
1691,Capital Bra,CB6,Universal Domestic Urban,12,27.09.2019,03.10.2019,HipHop
1692,Dame,Zeus,Damestream Records,13,27.09.2019,03.10.2019,HipHop
1693,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,14,27.09.2019,03.10.2019,HipHop
1694,Travis Scott,Astroworld,Epic,15,27.09.2019,03.10.2019,HipHop
1695,Trettmann,#DIY,SoulForce Records,16,27.09.2019,03.10.2019,HipHop
1696,BHZ,3062,BHZ,17,27.09.2019,03.10.2019,HipHop
1697,Sido,Kronjuwelen,Universal Domestic Urban,18,27.09.2019,03.10.2019,HipHop
1698,Capital Bra,Berlin Lebt,Team Kuku,19,27.09.2019,03.10.2019,HipHop
1699,LX & Maxwell,Obststand 2,Chapter One,20,27.09.2019,03.10.2019,HipHop
1700,Trettmann,Trettmann,Soulforce/BMG,1,20.09.2019,26.09.2019,HipHop
1701,Loredana (CH),King Lori,Loredana,2,20.09.2019,26.09.2019,HipHop
1702,Olexesh,Augen Husky,385ideal,3,20.09.2019,26.09.2019,HipHop
1703,Post Malone,Hollywood's Bleeding,Republic Records,4,20.09.2019,26.09.2019,HipHop
1704,Luciano,Millies,Universal Domestic Urban,5,20.09.2019,26.09.2019,HipHop
1705,Dame,Zeus,Damestream Records,6,20.09.2019,26.09.2019,HipHop
1706,Ufo361,Wave,Stay High,7,20.09.2019,26.09.2019,HipHop
1707,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,8,20.09.2019,26.09.2019,HipHop
1708,Shindy,Drama,Friends With Money,9,20.09.2019,26.09.2019,HipHop
1709,Juju (DE),Bling Bling,Jinx Music,10,20.09.2019,26.09.2019,HipHop
1710,Capital Bra,CB6,Universal Domestic Urban,11,20.09.2019,26.09.2019,HipHop
1711,BHZ,3062,BHZ,12,20.09.2019,26.09.2019,HipHop
1712,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,13,20.09.2019,26.09.2019,HipHop
1713,AK Ausserkontrolle,XY Sampler,Universal Domestic Vertigo,14,20.09.2019,26.09.2019,HipHop
1714,18 Karat,Je M'Appelle Kriminell,Banger Musik,15,20.09.2019,26.09.2019,HipHop
1715,Trettmann,#DIY,SoulForce Records,16,20.09.2019,26.09.2019,HipHop
1716,Travis Scott,Astroworld,Epic,17,20.09.2019,26.09.2019,HipHop
1717,LX & Maxwell,Obststand 2,Chapter One,18,20.09.2019,26.09.2019,HipHop
1718,NF,The Search,NF Real Music,19,20.09.2019,26.09.2019,HipHop
1719,KC Rebell,Hasso,Rebell Army,20,20.09.2019,26.09.2019,HipHop
1720,Dame,Zeus,Damestream Records,1,13.09.2019,19.09.2019,HipHop
1721,Post Malone,Hollywood's Bleeding,Republic Records,2,13.09.2019,19.09.2019,HipHop
1722,Luciano,Millies,Universal Domestic Urban,3,13.09.2019,19.09.2019,HipHop
1723,Mert,Boxerschnitt,Husla Music,4,13.09.2019,19.09.2019,HipHop
1724,Ufo361,Wave,Stay High,5,13.09.2019,19.09.2019,HipHop
1725,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,6,13.09.2019,19.09.2019,HipHop
1726,Shindy,Drama,Friends With Money,7,13.09.2019,19.09.2019,HipHop
1727,Juju (DE),Bling Bling,Jinx Music,8,13.09.2019,19.09.2019,HipHop
1728,Capital Bra,CB6,Universal Domestic Urban,9,13.09.2019,19.09.2019,HipHop
1729,XXXTentacion,?,Bad Vibes Forever,10,13.09.2019,19.09.2019,HipHop
1730,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,11,13.09.2019,19.09.2019,HipHop
1731,Travis Scott,Astroworld,Epic,12,13.09.2019,19.09.2019,HipHop
1732,NF,The Search,NF Real Music,13,13.09.2019,19.09.2019,HipHop
1733,LX & Maxwell,Obststand 2,Chapter One,14,13.09.2019,19.09.2019,HipHop
1734,Dardan,Sorry...,Hypnotize Entertainment,15,13.09.2019,19.09.2019,HipHop
1735,Trettmann,#DIY,SoulForce Records,16,13.09.2019,19.09.2019,HipHop
1736,Frauenarzt & Orgasmus,Porno Mafia Kings Of Bass,ILM Records,17,13.09.2019,19.09.2019,HipHop
1737,KC Rebell,Hasso,Rebell Army,18,13.09.2019,19.09.2019,HipHop
1738,Post Malone,Beerbongs & Bentleys,Republic Records,19,13.09.2019,19.09.2019,HipHop
1739,Capital Bra,Berlin Lebt,Team Kuku,20,13.09.2019,19.09.2019,HipHop
1740,Luciano,Millies,Universal Domestic Urban,1,06.09.2019,12.09.2019,HipHop
1741,Frauenarzt & Orgasmus,Porno Mafia Kings Of Bass,ILM Records,2,06.09.2019,12.09.2019,HipHop
1742,Ufo361,Wave,Stay High,3,06.09.2019,12.09.2019,HipHop
1743,MC Bomber & Shacke One,Nordachse 2,Nordachse,4,06.09.2019,12.09.2019,HipHop
1744,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,5,06.09.2019,12.09.2019,HipHop
1745,Shindy,Drama,Friends With Money,6,06.09.2019,12.09.2019,HipHop
1746,Juju (DE),Bling Bling,Jinx Music,7,06.09.2019,12.09.2019,HipHop
1747,Capital Bra,CB6,Universal Domestic Urban,8,06.09.2019,12.09.2019,HipHop
1748,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,9,06.09.2019,12.09.2019,HipHop
1749,Travis Scott,Astroworld,Epic,10,06.09.2019,12.09.2019,HipHop
1750,LX & Maxwell,Obststand 2,Chapter One,11,06.09.2019,12.09.2019,HipHop
1751,Bushido,Carlo Cokxxx Nutten 3,Bushido,12,06.09.2019,12.09.2019,HipHop
1752,Azad,Der Bozz 2,Bozz Music,13,06.09.2019,12.09.2019,HipHop
1753,Dardan,Sorry...,Hypnotize Entertainment,14,06.09.2019,12.09.2019,HipHop
1754,AchtVier,Hyperaktiv,Walk This Way Records,15,06.09.2019,12.09.2019,HipHop
1755,Bushido,Black Friday,Bushido,16,06.09.2019,12.09.2019,HipHop
1756,Sero el Mero,BabyFaceFlow,Groove Attack TraX,17,06.09.2019,12.09.2019,HipHop
1757,KC Rebell,Hasso,Rebell Army,18,06.09.2019,12.09.2019,HipHop
1758,Trettmann,#DIY,SoulForce Records,19,06.09.2019,12.09.2019,HipHop
1759,Mero,Ya Hero Ya Mero,Groove Attack TraX,20,06.09.2019,12.09.2019,HipHop
1760,Ufo361,Wave,Stay High,1,30.08.2019,05.09.2019,HipHop
1761,AchtVier,Hyperaktiv,Walk This Way Records,2,30.08.2019,05.09.2019,HipHop
1762,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,3,30.08.2019,05.09.2019,HipHop
1763,Mädness,OG,Mädness,4,30.08.2019,05.09.2019,HipHop
1764,Shindy,Drama,Friends With Money,5,30.08.2019,05.09.2019,HipHop
1765,Soufian,S.O.S.,Generation Azzlack,6,30.08.2019,05.09.2019,HipHop
1766,Juju (DE),Bling Bling,Jinx Music,7,30.08.2019,05.09.2019,HipHop
1767,Capital Bra,CB6,Universal Domestic Urban,8,30.08.2019,05.09.2019,HipHop
1768,Azad,Der Bozz 2,Bozz Music,9,30.08.2019,05.09.2019,HipHop
1769,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,10,30.08.2019,05.09.2019,HipHop
1770,Dardan,Sorry...,Hypnotize Entertainment,11,30.08.2019,05.09.2019,HipHop
1771,Sero el Mero,BabyFaceFlow,Groove Attack TraX,12,30.08.2019,05.09.2019,HipHop
1772,LX & Maxwell,Obststand 2,Chapter One,13,30.08.2019,05.09.2019,HipHop
1773,Jazzkantine,Mit Pauken und Trompeten,Rap Nation Records,14,30.08.2019,05.09.2019,HipHop
1774,Trettmann,#DIY,SoulForce Records,15,30.08.2019,05.09.2019,HipHop
1775,Bushido,Black Friday,Bushido,16,30.08.2019,05.09.2019,HipHop
