,id,album_name,album_artist,album_release_date
209,5SyLIeBzGDJ4YzGDNqVVB2,30-11-80,Sido,2013-01-01
210,6CfltQzaQYe1DZDRSjy2Qj,MTV Unplugged Live aus'm MV,Sido,2010-01-01
211,1oUbKEimVzsvNablbLWxsr,Aggro Berlin,Sido,2009-01-01
212,2xBC5FpIToABiNhGz2x3jN,Ich & meine Maske (Premium Version),Sido,2008-05-30
213,1pq1kLABw0A1UCLmfhYfZr,Ich (Premium Edition),Sido,2006-12-01
214,3haQhhBpqNvWbajUwpNoiv,Ich (Premium Edition),Sido,2006-12-01
215,4uof2ZG6R07HdpkYBtPhV8,Maske X,Sido,2005-11-25
216,4TbgjGDL2TAlflFfktyrNP,Maske X,Sido,2004-04-26
217,5HyUOAxq0ye1K0DcDbEXkS,A.I.D.S. - Alles ist die Sekte - Album Nr. 3,Sido,2002-05-13
218,5GtzPNjGUByw0QBZrLqxRO,A.I.D.S. - Alles ist die Sekte - Album Nr. 3,Sido,2002-05-13
219,6ZOJRvHXfi9HPSefCA3Inm,Abschied von Gestern,Afrob,2019-11-22
220,414ZLaplNAjj5NYsestgkl,"beats, rhymes & mr. scardanelli (Acoustic)",Afrob,2017-10-06
221,4b1VZ0Hl3qvS8DMwnsAokd,Mutterschiff (Deluxe Edition),Afrob,2016-09-23
222,05PPPgnSpwp1w0mJJplbg0,Push,Afrob,2015-02-06
223,7nKKQXBCa1oqvI3SqWmZ1g,Der letzte seiner Art,Afrob,2009-09-04
224,3NsoazUnRvVEkx5UKdRJrW,Hammer,Afrob,2005-09-01
225,1OZ3pvc3ltuAhpAb5qsBNw,Made In Germany,Afrob,2001-06-25
226,6bGk9TnHYMTKsQBpASDu3q,Rolle mit Hip Hop,Afrob,1999-03-29
227,5uLY2EO0C0MHUOcfY3dGP5,FML,Mois,2021-04-16
228,1oBNmxPT23gkQvAqZM5sO4,Regen,Sero,2020-11-27
229,18nk1x5V6cSplvUBOEmJgc,road to rain,Sero,2020-06-12
230,3IFlWGoPpbACwLEwpZFLmc,RAW-Tape (Gold),Sero,2018-11-16
231,3Wix0niFZgL05WtOzKcYfL,One and Only,Sero,2017-05-05
232,5JOW8e2bntptyHokOXw0Wo,Eure Lieblingssongs 3,Zate,2020-05-15
233,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,Zate,2019-09-03
234,0isnhIy1gj3OMXmNh1H27R,Eure Lieblingssongs 2,Zate,2019-07-24
235,2W4vFLdLePnoXWfJ62fVgQ,It's Zate,Zate,2017-03-30
236,7FzVARL5hF1iZPpOTCyMpp,Nimmerland,RIN,2019-12-06
237,56RF57X1QdoA5qtGaLoKfP,Planet Megatron,RIN,2018-08-17
238,55tCqWut5gobjBTJMTQJ4h,EROS (2018),RIN,2018-01-12
239,5UEEWxYyRXwcr85LZNnTq2,FNFZHN,KC Rebell,2021-04-23
