,title,artist,year,info
85,christmas ,Darlene Love,1963,"Included on the 1963 holiday album A Christmas Gift for You from Phil Spector. Written by Phil Spector, Ellie Greenwich, and Jeff Barry. First entered Billboard's Hot 100 chart on the week ending December 29, 2018, peaking at No. 19 on the week ending January 2, 2021 (following its second chart re-entry). Also made these other Billboard music charts (with peak positions shown): Global 200 (No. 30), Holiday 100 (No. 13), Holiday Airplay (No. 42), Holiday Digital Song Sales (No. 21), Holiday Streaming Songs (No. 11), Hot 100 Recurrents (No. 4), R&B Digital Song Sales (No. 6), R&B Streaming Songs (No. 3), R&B/Hip-Hop Digital Song Sales (No. 16), R&B/Hip-Hop Streaming Songs (No. 4), and Streaming Songs (No. 15).[121]"
88,christmas blues,Canned Heat,1968,Peaked at No. 18 on the Billboard Christmas Singles chart.[91] Also released as a single by The Chipmunks.
89,the christmas blues,Dean Martin,1953,Written by David Holt and Sammy Cahn. Also recorded by Jo Stafford.
90,christmas canon,Trans-Siberian Orchestra,1998,Chord progression is based on that of Pachelbel's Canon in D major.[124]
91,christmas can't be far away,Eddy Arnold and his Guitar,1954,Peaked at No. 12 on Billboard's Country & Western Records Most Played by Jockeys chart in 1955.[2][125]
92,christmas can't be very far away,Amy Grant,1999,"Not to be confused with ""Christmas Can't Be Far Away"" by Eddy Arnold."
93,christmas carol,Skip Ewing,1990,"Written in 1986 and first released on Ewing's 1990 album Following Yonder Star. First charted on Billboard's Hot Country Singles & Tracks chart in 1996, peaking at No. 68.[126][127]"
94,christmas carols by the old corral,Tex Ritter,1945,Peaked at No. 2 on Billboard's Most-Played Juke Box Folk Records chart.[128][129]
95,christmas celebration,B. B. King,1963,"First charted on Billboard's Christmas Singles chart in 1964, peaking at No. 25. Charted again in 1967, peaking at No. 17.[45]"
96,christmas c'mon,Lindsey Stirling featuring Becky G,2017,Peaked at No. 21 on the Billboard Adult Contemporary chart.
97,christmas ,Amos Milburn,1960,"Originally released as the B-side of Charles Brown's 1960 holiday hit single, ""Please Come Home for Christmas""."
98,christmas cookies,George Strait,2001,From the 2001 various artists album Christmas Cookies. Peaked at No. 33 on Billboard's Hot Country Singles & Tracks chart in 2002.[115][130] Originally issued on the Target CD A Country Christmas 1999.
99,christmas day,Eddie Fisher,1952,Peaked at No. 22 on the popular records chart. Features Hugo Winterhalter and his orchestra.[57] Written by Benny Davis and Ted Murry. Released within a four-record album set titled Christmas with Eddie Fisher.
100,christmas dinner,Tennessee Ernie Ford,1951,"B-side is ""A Rootin' Tootin' Santa Claus""."
101,christmas dragnet ,Stan Freberg with Daws Butler,1953,"Peaked at No. 13 on Billboard's Best Selling Singles chart.[131][132] A parody of Dragnet and the follow-up to Freberg's No. 1 hit from several months earlier, ""St. George and the Dragonet"". In 1954, the same record was re-issued under the title ""Yulenet (Parts I & II)""."
102,christmas dream,Perry Como,1974,Peaked at No. 92 on the Billboard Hot 100 singles chart. From the 1974 film The Odessa File.[96][133] Como's last appearance on the Billboard Hot 100.
103,christmas dreaming ,Frank Sinatra,1947,Peaked at No. 26 on the Billboard Pop Charts. Featuring the Axel Stordahl orchestra.[53]
104,christmas eve,Kelly Clarkson,2017,Peaked at No. 2 on the Billboard Adult Contemporary chart in early 2018.
105,christmas eve in my hometown,Bobby Vinton,1970,Earlier recordings by Eddie Fisher and Kate Smith.
106,christmas eve/sarajevo 12/24,Savatage,1996,"The song is a medley including ""God Rest Ye Merry, Gentlemen"" and a hard rock version of ""Carol of the Bells"". First released in 1995 on the Savatage album Dead Winter Dead, but the same recording was re-released in 1996 as a track on the Trans-Siberian Orchestra album Christmas Eve and Other Stories.[83]"
107,christmas for cowboys,John Denver,1975,From the album Rocky Mountain Christmas. Written by Steve Weisberg. Peaked at No. 58 on the Billboard Hot 100 chart.[113][134]
108,christmas in america,Pat Benatar,2001,Reached No. 22 on the Billboard Adult Contemporary chart and No. 37 on the Billboard Hot 100.[135][136] Later appeared on the 2003 album Go as a hidden track.
109,christmas in dixie,Alabama,1982,"The original version featured Alabama wishing you ""Merry Christmas"" near the end of the song. Lead singer Randy Owen re-recorded the song with Kenny Chesney in 2003.[39][137]"
110,christmas in hollis,Run-D.M.C.,1987,"An original song written and recorded by the group for charity, with the music video a perennial favorite on the MTV through the late 1980s and 1990s. It first appeared on two 1987 various artist holiday compilation albums: A Very Special Christmas and Christmas Rap, with the former album to benefit the Special Olympics. The track samples the 1968 soul tune ""Back Door Santa"" by Clarence Carter.[128][138]"
111,christmas in killarney,Dennis Day,1950,"Featuring the Mellowmen on backing vocals and instrumentation by the Henri René Orchestra.[113][139] Another hit version was by Percy Faith and the Shillelagh Singers in 1950.[57] Also recorded on successful Christmas albums by Bing Crosby, Bobby Vinton and Anne Murray."
112,christmas in my hometown,Sonny James,1954,Covered by Travis Tritt in 1992
113,christmas in my home town[140],Charley Pride,1970,Peaked at No. 11 on the Billboard Christmas Singles chart.[38]
114,christmas in new orleans,Louis Armstrong with the Benny Carter Orchestra,1955,
115,christmas in the caribbean,Jimmy Buffett,1985,
116,christmas in the city,Elizabeth Chan,2014,Peaked at No. 29 on the Billboard Adult Contemporary chart in 2015.
117,christmas in your arms,Steve Wariner,2000,Peaked at No. 65 on the Billboard Hot Country Songs chart.[55][141]
118,christmas is ,Percy Faith,1966,"Written by Percy Faith and Spencer Maxwell. Originally recorded by Percy Faith in 1964 as an instrumental (""Judy""). Selected as the theme song for the 1967 Christmas Seals appeal. Also a hit that year for Lou Rawls."
119,christmas is ,Jim Brickman featuring Mark Masri,2008,Peaked at No. 18 on the Billboard Hot Adult Contemporary Tracks chart during the Christmas season of 2008.[142]
120,christmas is for children,Glen Campbell,1968,"Written by Sammy Cahn. Peaked at #7 on Billboard's ""Best Bets For Christmas"" survey, December 1968.[91]"
121,christmas is going to the dogs,Eels,2000,From the 2000 film How the Grinch Stole Christmas.
122,christmas is just a song for us this year,Louise Mandrell and R.C. Bannon,1982,"B-side of ""Christmas in Dixie"" by Alabama. Reached No. 35 on the Hot Country Singles chart in 1982.[143]"
123,christmas is just around the corner,Barry Manilow,2008,Reached No. 16 on the Billboard Hot Adult Contemporary Tracks chart.[144]
124,christmas is now drawing near at hand,Steve Winwood,1997,From the album A Very Special Christmas 3.
125,christmas is the time to say 'i love you',Billy Squier,1981,"Originally released as the B-side of Squier's 1981 single ""My Kinda Lover"".[145]"
126,christmas island,The Andrews Sisters with Guy Lombardo and His Royal Canadians,1946,"Peaked at No. 7 on the Billboard Pop charts in 1946. Re-charted in 1947 and 1949.[2] Also a hit for Jimmy Buffett (1996), and The Brian Setzer Orchestra (2005)."
127,christmas kisses,The Bookends,1961,With the Ray Anthony orchestra.
128,christmas lights,Coldplay,2010,Digital download track that peaked at No. 25 on the Billboard Hot 100 and No. 12 on the Billboard Hot Digital Songs chart.[146]
129,a christmas love,Johnny Kaye with the Morty Jay Orchestra,1963,"Charted for 1 week on the Christmas Singles chart, peaking at No. 20.[10]"
130,christmas lullaby,Cary Grant,1967,Written by Peggy Lee and Cy Coleman.[93]
131,christmas medley,The Salsoul Orchestra,1976,"A 12-minute, 8-second disco medley of holiday songs performed by the backing band for Salsoul Records, containing the songs: ""Joy To The World""/""Deck The Halls""/""O Come All Ye Faithful""/""Jingle Bells""/""Hark! The Herald Angels Sing""/""Santa Claus Is Coming To Town""/""The Christmas Song""/""White Christmas""/""Rudolph The Red-Nosed Reindeer""/""I'll Be Home For Christmas""/""Winter Wonderland""/""The First Noël""/""We Wish You A Merry Christmas"". The B-side of the single was ""New Year's Medley"", a 7-minute, 17-second medley of new year's-related songs."
132,christmas memories,Frank Sinatra,1975,"Also recorded by Alabama (1985), Steve Wariner (1992), Rosemary Clooney (1996), and Barbra Streisand (2001). Sometimes titled ""Christmas Mem'ries""."
