,Unnamed: 0,id,album_name,album_artist,album_release_date,gender
121,121,6jeysLy4dpf92GQivsC3yA,"sex, drugs & rock'n'roll",jiggo,2020-03-13,male
122,122,39qIQqqihm9O7Cv4KqWUN9,chérie,jiggo,2019-10-25,male
123,123,2DJKq9sexPhMMcirN4Oox6,casanova,jiggo,2018-05-25,male
124,124,1HZDvQKz15zFEVJdaKEoVi,kitschkrieg,kitschkrieg,2020-08-07,male
125,125,0HGEwZXbJuwOyPml1zlts0,kitschkrieg,kitschkrieg,2020-08-07,male
126,126,6nNWkAwlHC0yIoKzzl7rnQ,trettmann,trettmann,2019-09-13,male
127,127,03iNJiD9tUpIdBLvHYwZwT,trettmann,trettmann,2019-09-13,male
128,128,0RGX4jwWKh3ELvPYQPQ0AI,#diy,trettmann,2017-09-29,male
129,129,53IJ9Yh8EcaYpEw1tSarDn,#diy,trettmann,2017-09-29,male
130,130,3rMEBmkIiddqmoyJNMTTCA,fdw vol.1,gangsta47,2020-12-25,male
131,131,7CbsEPeywem7cZFLb8YoY3,verboten,twin,2018-08-31,male
132,132,79hQFcCfMhiGBUyhDaJzwT,auuufjetzt! (deluxe version),twin,2016-02-05,male
133,133,29NxxObZShyZjLXd78yoWX,1312 prinzip (deluxe version),twin,2014-10-31,male
134,134,38Cq8WrYSPYcy6NBeL8ofL,13 vor 12 mixtape,twin,2013-12-13,male
135,135,4DNIXWa5FSk4Jwe3MyX6vo,dreckig reden sauber flow'n,kalazh44,2020-10-02,male
136,136,7AoF4Ibxb9J22u8AA7saNN,diebe im gesetz,kalazh44,2016-09-23,male
137,137,6ecFx9Xcai3ZIhavzZQAV4,diebe im gesetz,kalazh44,2016-09-23,male
138,138,10ceqsk85dwRmXfPwJpSQA,bezirk 13,kalazh44,2015-11-13,male
139,139,0FJKISYDgCoXTR3CNVOGoZ,bezirk 13,kalazh44,2015-11-13,male
140,140,2JWkCSKXhBN7Ai5OO49yF8,alright,t-low,2021-03-27,male
141,141,32xLYP0fgfi5cePBxfJlbx,arbeite am leben,sevi rin,2020-12-18,male
142,142,2dTnpNkwU0g3gejsngTDtA,sevicodon,sevi rin,2019-12-20,male
143,143,5GvRKD1QRLDhhttNvJCBMR,sevizolam,sevi rin,2019-09-10,male
144,144,6pIdgXxfqzGq8h5YE5vxSz,free sevi,sevi rin,2018-11-16,male
145,145,0ghRZukxsX8QYk7LTP7UUb,beamerboy,sevi rin,2018-06-30,male
146,146,0N34lQm2VpZvU5XuRBRARg,reasonable kraut,lakmann,2020-07-31,male
147,147,4GLiAp8DjSnag9VN0nVxlm,fear of a wack planet,lakmann,2017-10-13,male
148,148,6PxLIOnfWGRb1qI31wMrU3,aus dem schoß der psychose,lakmann,2016-01-29,male
149,149,0BuNlfyIhLhIyM2cdEc3Iv,all in,lakmann,2007-11-09,male
150,150,780Rdz9o29wSWrpFxlIs94,niemals erwachsen,rypl,2018-07-06,male
151,151,1x6pmXW3n8RzmauhDM0hrv,dcv 'n' tam (macs 'n' gees),dcvdns,2019-07-05,male
152,152,4M7YxE9StV38TaS2abUAlZ,dcv 'n' tam (macs 'n' gees),dcvdns,2019-07-05,male
153,153,3hAkCUnQJ2DTo6fhnJV8V5,der erste tighte wei$$e,dcvdns,2017-07-07,male
154,154,0bEyccUzZGWoAl4cpErsxx,d.w.i.s,dcvdns,2013-09-20,male
155,155,4EifO3dVoIsiUo7C0Ncmnz,d.w.i.s (premium edition),dcvdns,2013-09-20,male
156,156,4bCfOPxErHzOGT87JwRzSV,brille,dcvdns,2012-02-24,male
157,157,7bUAL3Y4QDYJBSrPGevg1I,ultimate,ano,2020-05-14,male
158,158,5PrqMCaTZGtXmSDnMwpvDq,hannoveraner,ano,2018-11-09,male
159,159,1qFptiUWO69iDZ6sdz40ch,fick fame,ano,2017-11-17,male
160,160,1qJYnb9OUO6Fo7sYXfOq11,ott sei dank,o.g.,2021-05-07,male
161,161,3FYhNS58zK8gpPs393EwLD,life is a roadtrip,naru,2020-07-24,male
162,162,4KIuPRZXyDO6u9FBFJh16y,surreal,naru,2018-11-16,male
163,163,2mqNCQsTx9lFrL6ZZWSHCS,rudeboii,naru,2018-03-23,male
164,164,4XQMN1IhEVrxVrozneYuJ2,goat,azad,2020-10-30,male
165,165,1KGhKPtt7YrG8Eu0oQomp0,der bozz 2,azad,2019-08-16,male
166,166,0L1cWdU9cxuKLLQxnSPWxE,nxtlvl,azad,2017-07-21,male
167,167,2tho0Q1webwKuf74KVj3Xl,leben ii,azad,2016-01-15,male
168,168,703iGkmC2W88iTQbMATXSj,fly away feat. kool savas & francisco,azad,2010-05-21,male
169,169,3fFKtnzcjnommj9IDapTpq,azphalt inferno 2,azad,2010-04-09,male
170,170,6aTxzZsb0qiuna7byP8iKx,assassin,azad,2009-05-22,male
171,171,5sbW2lTYLUAZHO9VBLMlnn,azphalt inferno,azad,2009-01-30,male
172,172,4Rzr6mHoq3nUppphdbmxwj,blockschrift,azad,2007-12-07,male
173,173,2bsldlysGbFc8Kqg0iItlU,game over,azad,2006-03-31,male
174,174,1zzzToFPTK3axDyPAFH9Cn,one,kool savas,2005-03-29,male
175,175,35qXU3F2wuzPXe1d4Bj6UT,one,kool savas,2005-03-28,male
176,176,1aoZAj2YZS0dllkiWqbAEX,der bozz (remix),azad,2004-12-01,male
177,177,3sPrziL3IZWtf7yGrnKP1c,der bozz,azad,2004-06-07,male
178,178,5tbE3lkcxOl32S73vSUUOA,faust des nordwestens,azad,2003-04-28,male
179,179,6IhVTS0Ex2xbndqcTFmEB1,leben,azad,2001-06-11,male
180,180,71UeE5PqgNnmWGtGr0S9JP,macho,bass sultan hengzt,2020-09-17,male
181,181,3z4JzAdGLeasqcznHMaLBN,macho (instrumentals),bass sultan hengzt,2020-09-16,male
182,182,15KV6U4eUOXs7IUUuscQkE,bester mann,bass sultan hengzt,2019-01-25,male
183,183,1wjf1IDIdZoBjpZDey0plq,2ahltag: riot,bass sultan hengzt,2017-02-24,male
184,184,7ETFuKWwXvW0yZSk6Vx3D8,2ahltag: riot,bass sultan hengzt,2017-02-24,male
185,185,6cMWebSLM9s0CspmrzgjzX,endlich erwachsen,bass sultan hengzt,2014-04-18,male
186,186,0YS1skaPhArY94Z4Wd9TJ1,endlich erwachsen,bass sultan hengzt,2014-04-18,male
187,187,3rbKH5JyF6T0FRLUyeliuv,deutscher oktober,disarstar,2021-03-12,male
188,188,4qUTInNWtIUcDiroip8bza,klassenkampf & kitsch,disarstar,2020-03-06,male
189,189,6SXfbEgHTkYxX8C3fSbii0,bohemien,disarstar,2019-02-15,male
190,190,1lgd0d6NZMg7GDUsgsn9O7,minus x minus = plus (deluxe edition),disarstar,2017-03-31,male
191,191,1FkMY2sfQoeGdihMRmIjdA,kontraste,disarstar,2015-06-26,male
192,192,329XbqrDVZHnUsxIm3VtiV,der schöne und die beats,josip radovic,2019-09-20,male
193,193,5MPQqTGXvf47GbMNHjlRnf,drama,shindy,2019-07-13,male
194,194,2t73pvBOZ6UmSUTyO0tb8X,drama,shindy,2019-07-12,male
195,195,1dAmEXD7PF1MPshQDmAyKi,revival,shindy,2018-09-10,male
196,196,5YnLi6ZnTk2sq9a2goXZPS,dreams,shindy,2016-11-11,male
197,197,7JXqtxSJvV1QsBkdFtgmsL,cla$$ic,bushido,2015-11-06,male
198,198,3fUl3udC3ZyjuRnRvrDroL,fvckb!tche$getmone¥,shindy,2014-10-10,male
199,199,3vZMpSR3TskOI0NmjVMizR,nwa 2.0,shindy,2013-08-02,male
200,200,5XJFzUdqPdsr7irvz4EnJS,nwa,shindy,2013-07-12,male
201,201,5s8UOBjKX2k9ciHtPnEgQQ,gift,eunique,2018-04-20,female
202,202,3jdqYXotnRgQwG3HTniNdH,ich & keine maske,sido,2019-09-26,male
