,track_id,track_album_id,track_album_name,track_album_release
96,6tyYvs7q0wRakDgOUQrfE0,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
97,6OaNhHmcp8o3jrLvovQrKw,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
98,0jqsZ8cRjGVTEOUMCelpAJ,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
99,10pw4Gumcv74OUHwhkYefC,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
100,19g8djvoZ6C97TquhxAGhS,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
101,7bIHydaQSxZpwL8fGa4l1n,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
102,7J5j3mrEotO34P2feKmgRb,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
103,198qS45IOwG7unsgOaYYeq,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
104,4mQHTzL6SzPgSaL932Krm0,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
105,2LiXi9awzrVj7mnAoHkZz2,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
106,5oMQVnNizR1dm14L3WxaDa,64n0QgLFR2wLjcT4CRQ2JZ,Eure Lieblingssongs,2019-09-03
107,2Y0Kp5m7J8QFVewWFiejw3,0isnhIy1gj3OMXmNh1H27R,Eure Lieblingssongs 2,2019-07-24
108,15ueXcqZSaNhCIm33kbC6t,0isnhIy1gj3OMXmNh1H27R,Eure Lieblingssongs 2,2019-07-24
109,2alsJSoflbfKPl7sy1pQlN,0isnhIy1gj3OMXmNh1H27R,Eure Lieblingssongs 2,2019-07-24
110,3oN3jxyNJ00LeQU26CLer6,0isnhIy1gj3OMXmNh1H27R,Eure Lieblingssongs 2,2019-07-24
111,0ilRyqaYynnM349CrqBw22,0isnhIy1gj3OMXmNh1H27R,Eure Lieblingssongs 2,2019-07-24
112,2tzHf1jIthoIR99ArjFr4i,0isnhIy1gj3OMXmNh1H27R,Eure Lieblingssongs 2,2019-07-24
